nombre,edad,lugar_registro,marca_auto,modelo_auto,año_modelo,autonomia_km,tipo_carga,fecha_registro,version_software,baterias_recicladas
Esperanza Rovira González,71,Las Palmas,Nissan,Leaf,2022,275,Lenta,2023-01-29,4.8.1,No
Eduardo Gámez,52,Cantabria,Audi,e-tron,2018,457,Rápida,2022-06-02,10.3.6,No
Fabricio Tenorio Bejarano,29,Segovia,Volkswagen,ID.3,2023,174,Rápida,2023-09-04,10.6.4,Sí
Candelario Cazorla-Matas,59,Guadalajara,Hyundai,Ioniq 5,2018,197,Lenta,2024-06-11,8.0.3,No
Chema Alberola Giralt,34,Almería,Nissan,Ariya,2023,243,Lenta,2024-10-31,3.2.5,No
Florina Ariño-Nuñez,52,Huesca,Audi,e-tron,2022,583,Rápida,2023-04-15,9.4.0,No
Benita Filomena Company Pou,71,Ourense,BMW,i3,2021,200,Lenta,2025-01-17,8.0.1,No
Alberto Cardona Villanueva,34,Lleida,Volkswagen,ID.4,2023,579,Lenta,2022-08-03,5.7.9,Sí
Felicidad Espejo Roldan,47,Córdoba,Hyundai,Kona Electric,2024,489,Lenta,2025-04-09,2.5.7,No
Severiano Vera Conde,40,Madrid,Hyundai,Kona Electric,2022,376,Lenta,2024-02-29,6.8.1,No
Belén Nebot Cabello,53,Badajoz,Chevrolet,Bolt EUV,2021,436,Lenta,2022-10-22,4.9.0,Sí
Heliodoro Diaz Roig,36,Cuenca,Audi,e-tron,2018,573,Rápida,2023-08-18,7.0.0,No
Leoncio Alcaraz Morcillo,44,Albacete,Kia,EV6,2020,222,Ultra Rápida,2024-09-23,8.9.5,Sí
Etelvina Castro Pont,49,Cádiz,Ford,F-150 Lightning,2024,241,Lenta,2024-08-14,10.5.2,No
Eliana Olmo Flores,41,Murcia,Tesla,Model Y,2025,348,Lenta,2025-02-21,6.8.8,No
Eutropio Gálvez,21,Toledo,Tesla,Model Y,2024,357,Lenta,2023-07-04,6.0.5,No
Magdalena Soledad Anglada Mendizábal,52,Ávila,Volkswagen,ID.4,2021,498,Lenta,2023-07-19,5.0.7,Sí
Octavia Ugarte,63,Valencia,Audi,e-tron,2019,579,Rápida,2023-01-29,4.7.2,No
María Luisa Pino Duque,62,Navarra,Audi,e-tron,2025,220,Ultra Rápida,2024-10-22,9.1.3,Sí
Mateo Valderrama Lopez,70,Guadalajara,BMW,i3,2023,179,Ultra Rápida,2022-11-27,4.3.2,No
Buenaventura Osvaldo Anaya Amador,52,Huelva,Ford,F-150 Lightning,2023,486,Ultra Rápida,2024-06-17,10.7.9,Sí
Tamara Salud Pedrero Morán,78,Valladolid,Volkswagen,ID.3,2024,308,Ultra Rápida,2023-12-16,6.1.3,No
Maricruz de Riera,61,Toledo,Kia,EV6,2022,431,Lenta,2024-08-16,10.5.0,Sí
Bartolomé Río Alfaro,54,La Coruña,Kia,EV6,2018,314,Ultra Rápida,2022-05-26,3.7.2,No
Leandra Valera Pi,59,Pontevedra,Volkswagen,ID.3,2022,173,Ultra Rápida,2024-08-24,6.3.9,Sí
Silvia Mateos Gelabert,32,Asturias,Audi,Q4 e-tron,2018,299,Rápida,2024-05-04,3.4.9,Sí
Édgar Querol-Cano,31,Toledo,Nissan,Ariya,2018,438,Rápida,2023-11-23,8.0.5,Sí
